Nome;Valor;Cpf;StatusDaVenda;Consultoras
gj;20896.00;123654987.64;assinados;rita
felipe amaral;20896.00;123654987.64;perdidos;rita
rafaelly salvador;20896.00;123654987.64;perdidos;rita
hudson;20896.00;123654987.64;pagos;rita
edson;20896.00;123654987.64;pagos;rita
gustavo soares;20896.00;123654987.64;pendentes;rita
guilherme sousa;20896.00;123654987.64;pendentes;rita
guilherme sousa;20896.00;123654987.64;pendentes;rita
guilherme sousa;20896.00;123654987.64;pendentes;rita
hudson;20896.00;123654987.64;pagos;rita
hudson;20896.00;123654987.64;pagos;rita
hudson;20896.00;123654987.64;pagos;rita
hudson;20896.00;123654987.64;pagos;rita
maria de souza pinto;25000.00;125896241-23;pendentes;Rita
