id;Nome;Cpf;Beneficio;Ddb;Especie;Valor;StatusDaVenda;Consultoras;Digitado;Produto;PrePagamento;Banco
9888;1 teste;41461209854;2089889329;23/05/2024;87;110999.84;Pagos;FELIPE;02/07/2024;Portabilidade;23/09/2024;Banco do Brasil S.A. (001)
9889;2 teste;41461209854;2089889329;23/05/2024;87;120999.84;Pagos;FELIPE;02/07/2024;Portabilidade;23/09/2024;Caixa Econômica Federal (104)
9890;3 teste;41461209854;2089889329;23/05/2024;87;25617.84;Pagos;FELIPE;02/07/2024;Portabilidade;23/09/2024;Itaú Unibanco S.A. (341)
9891;4 teste;41461209854;2089889329;23/05/2024;87;9832.84;Pagos;FELIPE;02/07/2024;Portabilidade;23/09/2024;Banco Bradesco S.A. (237)
9892;5 teste;41461209854;2089889329;23/05/2024;87;11421.84;Pagos;FELIPE;02/07/2024;Portabilidade;23/09/2024;Banco BMG S.A. (318)
9893;6 teste;41461209854;2089889329;23/05/2024;87;52312.84;Pagos;FELIPE;02/07/2024;Portabilidade;23/09/2024;Banco C6 S.A. (336)
9894;7 teste;41461209854;2089889329;23/05/2024;87;74212.84;Pagos;FELIPE;02/07/2024;Portabilidade;23/09/2024;Banco Daycoval S.A. (707)
9895;8 teste;41461209854;2089889329;23/05/2024;87;185321.84;Pagos;FELIPE;02/07/2024;Portabilidade;23/09/2024;Banco Cetelem S.A. (739)
9895;9 teste;41461209854;2089889329;23/05/2024;87;23456.84;Pagos;FELIPE;02/07/2024;Portabilidade;23/09/2024;Banco PAN S.A. (623)
9897;10 teste;41461209854;2089889329;23/05/2024;87;63234.84;Pagos;FELIPE;02/07/2024;Portabilidade;23/09/2024;Banco Safra S.A. (422)
98912;11 teste;41461209854;2089889329;23/05/2024;87;63234.84;Pagos;FELIPE;02/07/2024;Portabilidade;23/10/2024;Banco Safra S.A. (422)
98913;12 teste;41461209854;2089889329;23/05/2024;87;93234.84;Pagos;FELIPE;02/07/2024;Portabilidade;23/10/2024;Banco Safra S.A. (422)
98915;14 teste;41461209854;2089889329;23/05/2024;87;21456.84;Pendentes;FELIPE;02/07/2024;Portabilidade;23/09/2024;Banco Safra S.A. (422)
98916;15 teste;41461209854;2089889329;23/05/2024;87;245321.84;Assinados;FELIPE;02/07/2024;Portabilidade;23/09/2024;Banco Cetelem S.A. (739)
98914;13 teste;41461209854;2089889329;23/05/2024;87;93234.84;Perdidos;FELIPE;02/07/2024;Portabilidade;23/09/2024;Banco Safra S.A. (422)
