Nome,Valor,Cpf,StatusDaVenda
Nike Air Max,279.99,987654321-00,pendentes
Adidas Superstar,199.99,123456789-11,pagos
Polo Ralph Lauren,149.99,234567890-22,perdidos
Tommy Hilfiger Jeans,119.99,345678901-33,pagos
Calvin Klein Perfume,89.99,456789012-44,pendentes
Levi's Camiseta,49.99,567890123-55,perdidos
Vans Old Skool,89.99,678901234-66,pagos
Converse Chuck Taylor,59.99,789012345-77,pendentes
Fila Disruptor,99.99,890123456-88,perdidos
New Balance 574,79.99,901234567-99,pagos
Gucci Bolsa,599.99,012345678-90,pendentes
Rolex Submariner,8999.99,123123123-00,perdidos
Apple iPhone,999.99,234234234-11,pagos
Samsung Galaxy,799.99,345345345-22,pendentes
Sony PlayStation,499.99,456456456-33,perdidos
Microsoft Xbox,399.99,567567567-44,pagos
Nintendo Switch,299.99,678678678-55,pendentes
Canon EOS,899.99,789789789-66,perdidos
Nikon DLSR,799.99,890890890-77,pagos
