Nome;Valor;Cpf;StatusDaVenda;Consultoras
gj;20896.00;123654987.64;assinados;samara
felipe amaral;20896.00;123654987.64;perdidos;samara
rafaelly salvador;20896.00;123654987.64;perdidos;samara
hudson;20896.00;123654987.64;pagos;samara
edson;20896.00;123654987.64;pagos;samara
gustavo soares;20896.00;123654987.64;pendentes;samara
guilherme sousa;20896.00;123654987.64;pendentes;samara
guilherme sousa;20896.00;123654987.64;pendentes;samara
guilherme sousa;20896.00;123654987.64;pendentes;samara
hudson;20896.00;123654987.64;pagos;samara
hudson;20896.00;123654987.64;pagos;samara
hudson;20896.00;123654987.64;pagos;samara
hudson;20896.00;123654987.64;pagos;samara
